"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"186",-1029.42,-3.27283,1.80584,1.02419,0.300276,2.75467,0.665789,0.986498,1.48867,1,0,1,186,186
"187",-1060.33,-4.58189,1.76233,1.01323,0.377353,2.89075,0.594695,1.00362,1.47575,1,0,1,187,187
"188",-1024.48,-4.61021,1.86673,0.988376,0.31542,2.86155,0.610978,0.901322,1.47865,1,0,1,188,188
"189",-1022.54,-1.16635,1.7983,1.01257,0.357366,2.70756,0.637589,0.986494,1.49068,1,0,1,189,189
"190",-1059.03,-3.4406,1.84287,1.01731,0.373869,2.89672,0.588247,0.98654,1.46486,1,0,1,190,190
"191",-1059.09,-4.04457,1.76751,1.02219,0.39699,2.77009,0.60998,0.899516,1.43846,1,0,1,191,191
"192",-1025.27,-5.66412,1.82986,1.05539,0.30069,2.60028,0.612466,0.961184,1.50335,1,0,1,192,192
"193",-1023.91,-3.1188,1.77043,0.997034,0.389627,2.78919,0.636603,0.917102,1.43965,1,0,1,193,193
"194",-1029.11,-5.6488,1.78627,0.943715,0.389419,2.7071,0.552335,0.907068,1.43961,1,0,1,194,194
"195",-1023.04,-1.09648,1.80444,0.963907,0.360087,2.75439,0.640934,0.948943,1.46095,1,0,1,195,195
"196",-1026.56,-5.69339,1.81071,0.948728,0.334396,2.81448,0.690399,0.982898,1.43326,1,0,1,196,196
"197",-1023.89,-2.9171,1.85818,1.02156,0.385943,2.73652,0.628356,0.896605,1.47983,1,0,1,197,197
"198",-1021.68,-1.24563,1.80797,0.999865,0.417357,2.78037,0.635265,0.964666,1.46033,1,0,1,198,198
"199",-1030.81,-3.06601,1.82741,1.00569,0.380722,2.85766,0.572719,0.928331,1.50111,1,0,1,199,199
"200",-1056.83,-3.3998,1.80446,1.05535,0.360301,2.86219,0.628597,0.948671,1.46045,1,0,1,200,200
"201",-1026.04,-5.53137,1.86111,1.03144,0.360981,2.77191,0.615493,1.03159,1.51734,1,0,1,201,201
"202",-1029.03,-3.50088,1.82375,0.988022,0.442619,2.6265,0.589176,1.00098,1.48003,1,0,1,202,202
"203",-1064.51,-5.80696,1.73908,1.01312,0.387826,2.72398,0.557221,0.911328,1.4802,1,0,1,203,203
"204",-1024.99,-1.34751,1.84168,0.970055,0.389192,2.73883,0.605736,0.947698,1.45544,1,0,1,204,204
"205",-1062.24,-6.54185,1.84194,1.04844,0.387428,2.8458,0.547739,0.968567,1.43058,1,0,1,205,205
"206",-1024.96,-3.384,1.77747,0.997394,0.380447,2.69532,0.60067,0.873411,1.46222,1,0,1,206,206
"207",-1027.3,-4.80489,1.79429,1.02269,0.33855,2.57446,0.658201,0.97443,1.43859,1,0,1,207,207
"208",-1059.15,-2.46224,1.78421,1.0355,0.364227,2.76204,0.608311,1.00062,1.49386,1,0,1,208,208
"209",-1062.02,-6.84792,1.79668,1.06942,0.305216,2.76521,0.648373,1.02713,1.4426,1,0,1,209,209
"210",-1025.22,-2.39402,1.82814,0.956815,0.358331,2.74426,0.589809,0.898086,1.46543,1,0,1,210,210
"211",-1064.48,-7.28985,1.78123,1.07734,0.385249,2.73574,0.545333,0.91817,1.49871,1,0,1,211,211
"212",-1025.04,-2.70207,1.87055,0.993836,0.324159,2.71239,0.632659,0.967649,1.48421,1,0,1,212,212
"213",-1028.63,-6.21553,1.86744,0.979537,0.372051,2.67182,0.525416,0.943332,1.4942,1,0,1,213,213
