# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-09-26 16:24:07 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d415a95a69.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d43a7a42e2.json
# random
#   seed = 1427371676
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_exp2_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 0.1
0,-69034.5,-4.51172,0.000183272,0.596113,12.1539,0.00374494,1.02487,1.51563,1,0,0
0,-69053.1,-3.00209,0.000178729,2.14566,12.6258,0.00214238,1.45398,1.57829,1,0,0
0,-69040.7,-3.47837,0.000187367,0.780836,12.3576,0.00237147,1.4448,1.58918,1,0,0
0,-69022.3,-1.01131,0.000174333,2.63782,11.3804,0.00240237,1.36031,1.53804,1,0,0
0,-69120,-4.36566,0.00019616,0.531153,11.0164,0.00244258,1.25544,1.51508,1,0,0
0,-69032.9,-4.05095,0.000168243,0.605268,12.0199,0.00191807,1.56611,1.54565,1,0,0
0,-69029.6,-1.78047,0.00018344,0.972075,10.8608,0.00225238,1.36756,1.52044,1,0,0
0,-69012.7,-0.133199,0.000172352,1.25219,11.8386,0.00285655,1.41885,1.5326,1,0,0
0,-69053.6,-5.07115,0.000174773,10.8881,11.4074,0.00223461,1.41709,1.50477,1,0,0
0,-69183.4,-1.94621,0.000180794,3.84528,11.8185,0.00325081,1.64696,1.52892,1,0,0
0,-68970.6,-2.41192,0.000175894,1.86929,10.315,0.00259928,1.55941,1.58368,1,0,0
0,-69016.8,-3.88478,0.000185117,0.55637,10.1614,0.00256521,1.30473,1.58997,1,0,0
0,-68995.6,-1.93076,0.000174206,2.99591,12.2103,0.00357645,1.44627,1.52759,1,0,0
0,-69048.7,-2.93665,0.000175712,0.737817,14.9373,0.00260177,1.83463,1.54914,1,0,0
0,-69016.6,-3.48114,0.000172168,1.86908,12.2975,0.00290695,1.1868,1.4704,1,0,0
0,-68982.4,-0.832397,0.000173759,1.86104,10.9665,0.00292952,1.39501,1.50852,1,0,0
0,-69061.6,-3.91941,0.00017858,0.460357,15.5533,0.00282106,1.7053,1.56602,1,0,0
0,-69177.3,-5.98217,0.00015486,1.1632,13.4454,0.00223406,1.40849,1.56084,1,0,0
0,-69181.8,-4.86689,0.000168231,2.78004,11.6655,0.00299034,2.01732,1.48141,1,0,0
0,-69053.4,-3.18915,0.000164203,1.82146,11.8691,0.00300276,1.30161,1.48395,1,0,0
0,-69051,-1.74645,0.000166302,1.17348,13.5332,0.00250327,1.51284,1.51894,1,0,0
0,-69034.8,-3.79952,0.000174857,0.419916,12.9377,0.00195964,1.48701,1.54791,1,0,0
0,-69039.3,-2.71507,0.000171065,0.460119,11.0822,0.00265857,1.15296,1.57293,1,0,0
0,-68978.4,-1.59695,0.000175924,2.05814,10.2324,0.00331483,1.54478,1.54168,1,0,0
0,-69030.5,-1.9205,0.000180496,1.50662,12.1917,0.00228069,1.37041,1.49747,1,0,0
0,-69062.7,-3.554,0.000184028,0.806845,15.0969,0.00249196,1.20032,1.56637,1,0,0
0,-69025.3,-1.8781,0.000187441,2.35722,11.378,0.00291539,1.5009,1.56265,1,0,0
0,-69030.8,-1.15283,0.00018161,0.917227,13.0376,0.00237876,1.33548,1.54153,1,0,0
0,-69169.3,-7.82815,0.000165138,0.397768,10.6362,0.00350036,1.43751,1.62144,1,0,0
0,-70701.5,-6.60634,0.000196492,0.169008,10.9955,0.00264435,1.18179,1.52557,1,0,0
0,-69097.9,-3.42514,0.000174192,2.06576,11.5482,0.00411155,1.35603,1.5292,1,0,0
0,-69031.2,-1.83668,0.000164653,2.29798,11.0592,0.00263882,1.59256,1.53156,1,0,0
0,-69041,-2.16181,0.000176891,0.515692,14.2588,0.00333043,1.37717,1.53967,1,0,0
0,-69610.2,-5.37058,0.000171544,1.79284,9.83564,0.00349345,0.993064,1.49568,1,0,0
0,-69084.5,-3.13793,0.000192213,2.56494,13.2093,0.00271105,1.18429,1.54054,1,0,0
0,-69009.1,-1.24704,0.000179457,0.58385,11.2364,0.00264345,1.38951,1.56567,1,0,0
0,-69036.6,-5.94433,0.000168817,5.84861,14.2926,0.00203333,1.33748,1.50238,1,0,0
0,-69342.2,-8.8052,0.000157852,3.17589,9.3758,0.00420559,1.3956,1.52365,1,0,0
0,-69046.4,-2.53573,0.000179862,0.522724,13.3545,0.00277073,1.44863,1.48557,1,0,0
0,-69040.2,-1.58948,0.000183868,1.26345,13.3699,0.00237419,1.49184,1.55118,1,0,0
0,-68963.9,-2.1328,0.000172611,4.83847,11.3677,0.00304081,1.4206,1.50704,1,0,0
0,-69073.9,-3.27814,0.000159723,0.609358,11.1603,0.0029915,1.25474,1.52261,1,0,0
0,-68968,-3.03136,0.000176854,2.0542,9.53681,0.00354249,1.59766,1.54305,1,0,0
0,-69093,-4.11812,0.000174047,1.00838,10.6764,0.00400604,1.80673,1.52294,1,0,0
0,-69042.1,-2.28774,0.000170148,1.47803,12.4354,0.00253378,1.25015,1.58343,1,0,0
0,-69026.8,-0.971049,0.000176016,0.972833,12.0583,0.00240871,1.54981,1.5584,1,0,0
0,-69134.5,-3.5357,0.00017101,0.337329,12.4338,0.00320012,1.87831,1.56058,1,0,0
0,-69064.7,-2.69273,0.000175993,2.18338,15.7436,0.00275944,1.45864,1.5155,1,0,0
0,-69029.4,-3.00906,0.000185588,1.00008,11.8952,0.00275219,1.01367,1.56213,1,0,0
0,-69029.9,-2.14642,0.000183212,0.93143,12.7993,0.00230103,1.18874,1.5554,1,0,0
0,-69837.8,-5.52251,0.000167288,0.278477,8.76672,0.00238879,1.39501,1.54726,1,0,0
0,-69244.5,-2.28251,0.000183257,1.7433,12.7043,0.00331443,1.1436,1.55714,1,0,0
0,-69040.5,-2.83023,0.000163094,0.592781,10.7557,0.00295534,1.61456,1.51036,1,0,0
0,-68988.3,-4.99052,0.00017488,6.53165,9.45224,0.00221442,1.53624,1.55461,1,0,0
0,-70931.9,-3.63324,0.000173537,0.176829,11.73,0.00270895,1.40593,1.49806,1,0,0
0,-69039.4,-1.3286,0.000186006,0.789482,12.3216,0.00247667,1.54085,1.54096,1,0,0
0,-69014.9,-1.83244,0.000176239,1.34394,12.131,0.00344886,1.58716,1.56808,1,0,0
0,-69026.2,-3.79812,0.000170077,0.522258,12.1113,0.00249308,0.978157,1.50786,1,0,0
0,-69664.1,-2.52969,0.0001809,0.269568,10.5237,0.00291696,1.30017,1.54668,1,0,0
0,-69012.9,-2.41996,0.000171824,0.545054,11.3033,0.00307226,1.89048,1.51565,1,0,0
0,-69018.5,-5.77739,0.000173008,8.42018,9.93395,0.00292735,1.16487,1.48712,1,0,0
0,-69012.2,-0.844172,0.000177611,1.81829,12.3382,0.00278277,1.43376,1.50147,1,0,0
0,-69013.6,-1.43097,0.000183549,2.2609,11.3292,0.00291487,1.16688,1.53976,1,0,0
